Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10μF,C96446
F1,0603,1,MF-FSMF035X-2,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C2765186
"R1, R2",0402,2,5.1kΩ,C25905
