Designator,Mid X,Mid Y,Rotation,Layer
C1,8.509,8.89,180.0,top
F1,2.159,8.89,180.0,top
J1,5.334,4.285,0.0,top
R1,4.699,8.89,270.0,top
R2,5.969,8.89,270.0,top
